Z,A,isotope_resolved,evidence,locator,copy_read
17,37,true,the primary lists the separated isotope Cl-37,Suzuki 1987 (TRI-PP-87-5) Table IV p.25,preprint-scan
18,40,false,"the primary lists Ar only, with no mass number, so the value rests on an element target, not a separated isotope; Ar-40 is 99.60% of natural Ar",Suzuki 1987 (TRI-PP-87-5) Table IV p.25,preprint-scan
19,39,false,"the primary lists K only, with no mass number, so the value rests on an element target, not a separated isotope; K-39 is 93.26% of natural K",Suzuki 1987 (TRI-PP-87-5) Table IV p.25,preprint-scan
20,40,false,"the primary lists Ca with no mass number at this Z -- also Ca-43.8, which this mass number does not match -- so the value rests on an element target, not a separated isotope; Ca-40 is 96.94% of natural Ca",Suzuki 1987 (TRI-PP-87-5) Table IV p.25,preprint-scan
21,45,true,the primary lists Sc with no mass number; Sc is mononuclidic (Sc-45 = 100% of the natural element),Suzuki 1987 (TRI-PP-87-5) Table IV p.25,preprint-scan
22,48,false,"the primary lists Ti only, with no mass number, so the value rests on an element target, not a separated isotope; Ti-48 is 73.72% of natural Ti",Suzuki 1987 (TRI-PP-87-5) Table IV p.25,preprint-scan
23,51,false,"the primary lists V only, with no mass number, so the value rests on an element target, not a separated isotope; V-51 is 99.75% of natural V",Suzuki 1987 (TRI-PP-87-5) Table IV p.25,preprint-scan
24,50,true,the primary lists the separated isotope Cr-50,Suzuki 1987 (TRI-PP-87-5) Table IV p.25,preprint-scan
24,52,false,"the primary lists BOTH natural Cr and the separated isotope Cr-52; A=52 is also round(Ar)=52, so the key does not identify which entry this record reproduces -- see Suzuki 1987 (TRI-PP-87-5) Table IV p.25",,
24,53,true,the primary lists the separated isotope Cr-53,Suzuki 1987 (TRI-PP-87-5) Table IV p.25,preprint-scan
24,54,true,the primary lists the separated isotope Cr-54,Suzuki 1987 (TRI-PP-87-5) Table IV p.25,preprint-scan
25,55,true,the primary lists Mn with no mass number; Mn is mononuclidic (Mn-55 = 100% of the natural element),Suzuki 1987 (TRI-PP-87-5) Table IV p.25,preprint-scan
26,56,false,"the primary lists Fe only, with no mass number, so the value rests on an element target, not a separated isotope; Fe-56 is 91.75% of natural Fe",Suzuki 1987 (TRI-PP-87-5) Table IV p.26,preprint-scan
27,59,true,the primary lists Co with no mass number; Co is mononuclidic (Co-59 = 100% of the natural element),Suzuki 1987 (TRI-PP-87-5) Table IV p.26,preprint-scan
28,58,true,the primary lists the separated isotope Ni-58,Suzuki 1987 (TRI-PP-87-5) Table IV p.26,preprint-scan
28,60,true,the primary lists the separated isotope Ni-60,Suzuki 1987 (TRI-PP-87-5) Table IV p.26,preprint-scan
28,62,true,the primary lists the separated isotope Ni-62,Suzuki 1987 (TRI-PP-87-5) Table IV p.26,preprint-scan
29,63,true,the primary lists the separated isotope Cu-63,Suzuki 1987 (TRI-PP-87-5) Table IV p.26,preprint-scan
30,66,false,"the primary lists Zn only, with no mass number, so the value rests on an element target, not a separated isotope; Zn-66 is 27.73% of natural Zn, and A=66 is neither round(Ar)=65 nor the most abundant nuclide (Zn-64)",Suzuki 1987 (TRI-PP-87-5) Table IV p.26,preprint-scan
31,69,false,"the primary lists Ga only, with no mass number, so the value rests on an element target, not a separated isotope; Ga-69 is 60.11% of natural Ga",Suzuki 1987 (TRI-PP-87-5) Table IV p.26,preprint-scan
32,72,false,"the primary lists Ge only, with no mass number, so the value rests on an element target, not a separated isotope; Ge-72 is 27.45% of natural Ge, and A=72 is neither round(Ar)=73 nor the most abundant nuclide (Ge-74)",Suzuki 1987 (TRI-PP-87-5) Table IV p.26,preprint-scan
33,75,true,the primary lists As with no mass number; As is mononuclidic (As-75 = 100% of the natural element),Suzuki 1987 (TRI-PP-87-5) Table IV p.26,preprint-scan
34,80,false,"the primary lists Se only, with no mass number, so the value rests on an element target, not a separated isotope; Se-80 is 49.61% of natural Se",Suzuki 1987 (TRI-PP-87-5) Table IV p.26,preprint-scan
35,79,true,the primary lists the separated isotope Br-79,Suzuki 1987 (TRI-PP-87-5) Table IV p.26,preprint-scan
35,81,true,the primary lists the separated isotope Br-81,Suzuki 1987 (TRI-PP-87-5) Table IV p.26,preprint-scan
37,85,false,"the primary lists Rb only, with no mass number, so the value rests on an element target, not a separated isotope; Rb-85 is 72.17% of natural Rb",Suzuki 1987 (TRI-PP-87-5) Table IV p.26,preprint-scan
38,88,false,"the primary lists BOTH Sr with no mass number and the separated isotope Sr-88; A=88 is also round(Ar)=88, so the key does not identify which entry this record reproduces -- see Suzuki 1987 (TRI-PP-87-5) Table IV p.26",,
39,89,true,the primary lists Y with no mass number; Y is mononuclidic (Y-89 = 100% of the natural element),Suzuki 1987 (TRI-PP-87-5) Table IV p.26,preprint-scan
40,91,false,"the primary lists Zr only, with no mass number, so the value rests on an element target, not a separated isotope; Zr-91 is 11.22% of natural Zr, not the most abundant nuclide (Zr-90, 51.4%)",Suzuki 1987 (TRI-PP-87-5) Table IV p.26,preprint-scan
41,93,true,the primary lists Nb with no mass number; Nb is mononuclidic (Nb-93 = 100% of the natural element),Suzuki 1987 (TRI-PP-87-5) Table IV p.26,preprint-scan
42,96,false,"the primary lists Mo only, with no mass number, so the value rests on an element target, not a separated isotope; Mo-96 is 16.67% of natural Mo, not the most abundant nuclide (Mo-98, 24.4%)",Suzuki 1987 (TRI-PP-87-5) Table IV p.26,preprint-scan
45,103,true,the primary lists Rh with no mass number; Rh is mononuclidic (Rh-103 = 100% of the natural element),Suzuki 1987 (TRI-PP-87-5) Table IV p.26,preprint-scan
46,106,false,"the primary lists Pd only, with no mass number, so the value rests on an element target, not a separated isotope; Pd-106 is 27.33% of natural Pd",Suzuki 1987 (TRI-PP-87-5) Table IV p.26,preprint-scan
47,107,false,"the primary lists Ag only, with no mass number, so the value rests on an element target, not a separated isotope; Ag-107 is 51.84% of natural Ag",Suzuki 1987 (TRI-PP-87-5) Table IV p.26,preprint-scan
48,112,false,"the primary lists Cd only, with no mass number, so the value rests on an element target, not a separated isotope; Cd-112 is 24.13% of natural Cd, not the most abundant nuclide (Cd-114, 28.7%)",Suzuki 1987 (TRI-PP-87-5) Table IV p.27,preprint-scan
49,115,false,"the primary lists In only, with no mass number, so the value rests on an element target, not a separated isotope; In-115 is 95.71% of natural In",Suzuki 1987 (TRI-PP-87-5) Table IV p.27,preprint-scan
50,119,false,"the primary lists Sn only, with no mass number, so the value rests on an element target, not a separated isotope; Sn-119 is 8.59% of natural Sn, not the most abundant nuclide (Sn-120, 32.6%)",Suzuki 1987 (TRI-PP-87-5) Table IV p.27,preprint-scan
51,121,false,"the primary lists Sb only, with no mass number, so the value rests on an element target, not a separated isotope; Sb-121 is 57.21% of natural Sb",Suzuki 1987 (TRI-PP-87-5) Table IV p.27,preprint-scan
52,128,false,"the primary lists Te only, with no mass number, so the value rests on an element target, not a separated isotope; Te-128 is 31.74% of natural Te, not the most abundant nuclide (Te-130, 34.1%)",Suzuki 1987 (TRI-PP-87-5) Table IV p.27,preprint-scan
53,127,true,the primary lists I with no mass number; I is mononuclidic (I-127 = 100% of the natural element),Suzuki 1987 (TRI-PP-87-5) Table IV p.27,preprint-scan
55,133,true,the primary lists Cs with no mass number; Cs is mononuclidic (Cs-133 = 100% of the natural element),Suzuki 1987 (TRI-PP-87-5) Table IV p.27,preprint-scan
56,138,false,"the primary lists Ba only, with no mass number, so the value rests on an element target, not a separated isotope; Ba-138 is 71.70% of natural Ba",Suzuki 1987 (TRI-PP-87-5) Table IV p.27,preprint-scan
57,139,false,"the primary lists La only, with no mass number, so the value rests on an element target, not a separated isotope; La-139 is 99.91% of natural La",Suzuki 1987 (TRI-PP-87-5) Table IV p.27,preprint-scan
58,140,false,"the primary lists Ce only, with no mass number, so the value rests on an element target, not a separated isotope; Ce-140 is 88.45% of natural Ce",Suzuki 1987 (TRI-PP-87-5) Table IV p.27,preprint-scan
59,141,true,the primary lists Pr with no mass number; Pr is mononuclidic (Pr-141 = 100% of the natural element),Suzuki 1987 (TRI-PP-87-5) Table IV p.27,preprint-scan
60,144,false,"the primary lists Nd only, with no mass number, so the value rests on an element target, not a separated isotope; Nd-144 is 23.80% of natural Nd, not the most abundant nuclide (Nd-142, 27.2%)",Suzuki 1987 (TRI-PP-87-5) Table IV p.27,preprint-scan
62,150,false,"the primary lists Sm only, with no mass number, so the value rests on an element target, not a separated isotope; Sm-150 is 7.38% of natural Sm, not the most abundant nuclide (Sm-152, 26.8%)",Suzuki 1987 (TRI-PP-87-5) Table IV p.27,preprint-scan
64,157,false,"the primary lists Gd only, with no mass number, so the value rests on an element target, not a separated isotope; Gd-157 is 15.65% of natural Gd, not the most abundant nuclide (Gd-158, 24.8%)",Suzuki 1987 (TRI-PP-87-5) Table IV p.27,preprint-scan
65,159,true,the primary lists Tb with no mass number; Tb is mononuclidic (Tb-159 = 100% of the natural element),Suzuki 1987 (TRI-PP-87-5) Table IV p.27,preprint-scan
66,163,false,"the primary lists Dy only, with no mass number, so the value rests on an element target, not a separated isotope; Dy-163 is 24.90% of natural Dy, not the most abundant nuclide (Dy-164, 28.3%)",Suzuki 1987 (TRI-PP-87-5) Table IV p.27,preprint-scan
67,165,true,the primary lists Ho with no mass number; Ho is mononuclidic (Ho-165 = 100% of the natural element),Suzuki 1987 (TRI-PP-87-5) Table IV p.27,preprint-scan
68,167,false,"the primary lists Er only, with no mass number, so the value rests on an element target, not a separated isotope; Er-167 is 22.87% of natural Er, not the most abundant nuclide (Er-166, 33.5%)",Suzuki 1987 (TRI-PP-87-5) Table IV p.27,preprint-scan
72,178,false,"the primary lists Hf only, with no mass number, so the value rests on an element target, not a separated isotope; Hf-178 is 27.28% of natural Hf, not the most abundant nuclide (Hf-180, 35.1%)",Suzuki 1987 (TRI-PP-87-5) Table IV p.27,preprint-scan
73,181,false,"the primary lists Ta only, with no mass number, so the value rests on an element target, not a separated isotope; Ta-181 is 99.99% of natural Ta",Suzuki 1987 (TRI-PP-87-5) Table IV p.27,preprint-scan
74,184,false,"the primary lists W only, with no mass number, so the value rests on an element target, not a separated isotope; W-184 is 30.64% of natural W",Suzuki 1987 (TRI-PP-87-5) Table IV p.27,preprint-scan
79,197,true,the primary lists Au with no mass number; Au is mononuclidic (Au-197 = 100% of the natural element),Suzuki 1987 (TRI-PP-87-5) Table IV p.27,preprint-scan
80,201,false,"the primary lists Hg only, with no mass number, so the value rests on an element target, not a separated isotope; Hg-201 is 13.18% of natural Hg, not the most abundant nuclide (Hg-202, 29.9%)",Suzuki 1987 (TRI-PP-87-5) Table IV p.27,preprint-scan
81,205,false,"the primary lists Tl only, with no mass number, so the value rests on an element target, not a separated isotope; Tl-205 is 70.48% of natural Tl",Suzuki 1987 (TRI-PP-87-5) Table IV p.27,preprint-scan
82,207,false,"the primary lists Pb with no mass number at this Z -- also RPb (radiogenic lead), which this mass number does not match -- so the value rests on an element target, not a separated isotope; Pb-207 is 22.10% of natural Pb, not the most abundant nuclide (Pb-208, 52.4%)",Suzuki 1987 (TRI-PP-87-5) Table IV p.27,preprint-scan
83,209,true,the primary lists Bi with no mass number; Bi is mononuclidic (Bi-209 = 100% of the natural element),Suzuki 1987 (TRI-PP-87-5) Table IV p.28,preprint-scan
90,232,true,the primary lists the separated isotope Th-232,Suzuki 1987 (TRI-PP-87-5) Table IV p.28,preprint-scan
92,233,true,the primary lists the separated isotope U-233,Suzuki 1987 (TRI-PP-87-5) Table IV p.28,preprint-scan
92,235,true,the primary lists the separated isotope U-235,Suzuki 1987 (TRI-PP-87-5) Table IV p.28,preprint-scan
92,236,true,"the primary lists the separated isotope U-236; the preprint's Table IV lists U-233, U-235 and U-238 at Z=92 and no U-236 row, and the compiled-in value equals the published 236U cell alone at the printed precision (suzuki1987_parity_cells.csv)","Suzuki 1987 (Phys. Rev. C 35, 2212) Table IV p.2221",published-scan
92,238,true,the primary lists the separated isotope U-238,Suzuki 1987 (TRI-PP-87-5) Table IV p.28,preprint-scan
93,237,true,the primary lists the separated isotope Np-237,Suzuki 1987 (TRI-PP-87-5) Table IV p.28,preprint-scan
94,239,true,the primary lists the separated isotope Pu-239,Suzuki 1987 (TRI-PP-87-5) Table IV p.28,preprint-scan
94,242,true,the primary lists the separated isotope Pu-242,Suzuki 1987 (TRI-PP-87-5) Table IV p.28,preprint-scan
