record_id,source_id,source_sha256,locator,material_formula,phase,isotope_composition,temperature_K,density_g_cm3,beam_conditions,observable,normalization,reported_value,reported_uncertainty,units,efficiency_correction,attenuation_correction,cascade_correction,transfer_assumption,stopping_model,covariance_reference,primary_read,inferable_parameter,qualification,missing_inputs,capture_branch_correction
Stanislaus1987a-Table 1-17-13,Stanislaus1987a,e3ae6124dfccc1b41c20844b3861b0398eae8f6db2f8e96e4ec5f6ed0e1fca9d,Stanislaus1987a p.17 Table 1 row 13: V2O5,V2O5,solid,,,,,atomic_capture_ratio,ratio of atomic capture probabilities per atom; Stanislaus1987a p.7-8,3.04,0.16,,E1 counter efficiency and E2(Z) lost low-energy decay electrons; Stanislaus1987a p.7-8,E2(Z) energy losses in target and counters; Stanislaus1987a p.8,,,,Stanislaus1987a:Table 1,true,A(V/O),stage=terminal@Stanislaus1987a p.7;population=all_stops@Stanislaus1987a p.7;method=lifetime@Stanislaus1987a p.2;lineage=own@Stanislaus1987a p.2;inputs=unstated@Stanislaus1987a p.8,isotope_composition;temperature_K;density_g_cm3;beam_conditions;units;cascade_correction;transfer_assumption;stopping_model,"we must correct for those events where the muon is absorbed by the nucleus giving off neutrons; The Huff correction factor takes care of the fact that a negative muon in the K-orbit of the muonic atom has a lower decay probability than a free muon; Eqs. (3), (5), (8); Stanislaus1987a p.7-8"
Stanislaus1987a-Table 1-17-14,Stanislaus1987a,e3ae6124dfccc1b41c20844b3861b0398eae8f6db2f8e96e4ec5f6ed0e1fca9d,Stanislaus1987a p.17 Table 1 row 14: CrO3,CrO3,solid,,,,,atomic_capture_ratio,ratio of atomic capture probabilities per atom; Stanislaus1987a p.7-8,3.15,0.13,,E1 counter efficiency and E2(Z) lost low-energy decay electrons; Stanislaus1987a p.7-8,E2(Z) energy losses in target and counters; Stanislaus1987a p.8,,,,Stanislaus1987a:Table 1,true,A(Cr/O),stage=terminal@Stanislaus1987a p.7;population=all_stops@Stanislaus1987a p.7;method=lifetime@Stanislaus1987a p.2;lineage=own@Stanislaus1987a p.2;inputs=unstated@Stanislaus1987a p.8,isotope_composition;temperature_K;density_g_cm3;beam_conditions;units;cascade_correction;transfer_assumption;stopping_model,"we must correct for those events where the muon is absorbed by the nucleus giving off neutrons; The Huff correction factor takes care of the fact that a negative muon in the K-orbit of the muonic atom has a lower decay probability than a free muon; Eqs. (3), (5), (8); Stanislaus1987a p.7-8"
Stanislaus1987a-Table 1-17-15,Stanislaus1987a,e3ae6124dfccc1b41c20844b3861b0398eae8f6db2f8e96e4ec5f6ed0e1fca9d,Stanislaus1987a p.17 Table 1 row 15: MnO,MnO,solid,,,,,atomic_capture_ratio,ratio of atomic capture probabilities per atom; Stanislaus1987a p.7-8,2.89,0.14,,E1 counter efficiency and E2(Z) lost low-energy decay electrons; Stanislaus1987a p.7-8,E2(Z) energy losses in target and counters; Stanislaus1987a p.8,,,,Stanislaus1987a:Table 1,true,A(Mn/O),stage=terminal@Stanislaus1987a p.7;population=all_stops@Stanislaus1987a p.7;method=lifetime@Stanislaus1987a p.2;lineage=own@Stanislaus1987a p.2;inputs=unstated@Stanislaus1987a p.8,isotope_composition;temperature_K;density_g_cm3;beam_conditions;units;cascade_correction;transfer_assumption;stopping_model,"we must correct for those events where the muon is absorbed by the nucleus giving off neutrons; The Huff correction factor takes care of the fact that a negative muon in the K-orbit of the muonic atom has a lower decay probability than a free muon; Eqs. (3), (5), (8); Stanislaus1987a p.7-8"
Stanislaus1987a-Table 1-17-16,Stanislaus1987a,e3ae6124dfccc1b41c20844b3861b0398eae8f6db2f8e96e4ec5f6ed0e1fca9d,Stanislaus1987a p.17 Table 1 row 16: MnO2,MnO2,solid,,,,,atomic_capture_ratio,ratio of atomic capture probabilities per atom; Stanislaus1987a p.7-8,3.28,0.15,,E1 counter efficiency and E2(Z) lost low-energy decay electrons; Stanislaus1987a p.7-8,E2(Z) energy losses in target and counters; Stanislaus1987a p.8,,,,Stanislaus1987a:Table 1,true,A(Mn/O),stage=terminal@Stanislaus1987a p.7;population=all_stops@Stanislaus1987a p.7;method=lifetime@Stanislaus1987a p.2;lineage=own@Stanislaus1987a p.2;inputs=unstated@Stanislaus1987a p.8,isotope_composition;temperature_K;density_g_cm3;beam_conditions;units;cascade_correction;transfer_assumption;stopping_model,"we must correct for those events where the muon is absorbed by the nucleus giving off neutrons; The Huff correction factor takes care of the fact that a negative muon in the K-orbit of the muonic atom has a lower decay probability than a free muon; Eqs. (3), (5), (8); Stanislaus1987a p.7-8"
Stanislaus1987a-Table 1-17-17,Stanislaus1987a,e3ae6124dfccc1b41c20844b3861b0398eae8f6db2f8e96e4ec5f6ed0e1fca9d,Stanislaus1987a p.17 Table 1 row 17: Fe2O3,Fe2O3,solid,,,,,atomic_capture_ratio,ratio of atomic capture probabilities per atom; Stanislaus1987a p.7-8,3.48,0.24,,E1 counter efficiency and E2(Z) lost low-energy decay electrons; Stanislaus1987a p.7-8,E2(Z) energy losses in target and counters; Stanislaus1987a p.8,,,,Stanislaus1987a:Table 1,true,A(Fe/O),stage=terminal@Stanislaus1987a p.7;population=all_stops@Stanislaus1987a p.7;method=lifetime@Stanislaus1987a p.2;lineage=own@Stanislaus1987a p.2;inputs=unstated@Stanislaus1987a p.8,isotope_composition;temperature_K;density_g_cm3;beam_conditions;units;cascade_correction;transfer_assumption;stopping_model,"we must correct for those events where the muon is absorbed by the nucleus giving off neutrons; The Huff correction factor takes care of the fact that a negative muon in the K-orbit of the muonic atom has a lower decay probability than a free muon; Eqs. (3), (5), (8); Stanislaus1987a p.7-8"
Stanislaus1987a-Table 1-17-18,Stanislaus1987a,e3ae6124dfccc1b41c20844b3861b0398eae8f6db2f8e96e4ec5f6ed0e1fca9d,Stanislaus1987a p.17 Table 1 row 18: Fe3O4,Fe3O4,solid,,,,,atomic_capture_ratio,ratio of atomic capture probabilities per atom; Stanislaus1987a p.7-8,2.36,0.13,,E1 counter efficiency and E2(Z) lost low-energy decay electrons; Stanislaus1987a p.7-8,E2(Z) energy losses in target and counters; Stanislaus1987a p.8,,,,Stanislaus1987a:Table 1,true,A(Fe/O),stage=terminal@Stanislaus1987a p.7;population=all_stops@Stanislaus1987a p.7;method=lifetime@Stanislaus1987a p.2;lineage=own@Stanislaus1987a p.2;inputs=unstated@Stanislaus1987a p.8,isotope_composition;temperature_K;density_g_cm3;beam_conditions;units;cascade_correction;transfer_assumption;stopping_model,"we must correct for those events where the muon is absorbed by the nucleus giving off neutrons; The Huff correction factor takes care of the fact that a negative muon in the K-orbit of the muonic atom has a lower decay probability than a free muon; Eqs. (3), (5), (8); Stanislaus1987a p.7-8"
Stanislaus1987a-Table 1-17-19,Stanislaus1987a,e3ae6124dfccc1b41c20844b3861b0398eae8f6db2f8e96e4ec5f6ed0e1fca9d,Stanislaus1987a p.17 Table 1 row 19: CoO,CoO,solid,,,,,atomic_capture_ratio,ratio of atomic capture probabilities per atom; Stanislaus1987a p.7-8,3.09,0.15,,E1 counter efficiency and E2(Z) lost low-energy decay electrons; Stanislaus1987a p.7-8,E2(Z) energy losses in target and counters; Stanislaus1987a p.8,,,,Stanislaus1987a:Table 1,true,A(Co/O),stage=terminal@Stanislaus1987a p.7;population=all_stops@Stanislaus1987a p.7;method=lifetime@Stanislaus1987a p.2;lineage=own@Stanislaus1987a p.2;inputs=unstated@Stanislaus1987a p.8,isotope_composition;temperature_K;density_g_cm3;beam_conditions;units;cascade_correction;transfer_assumption;stopping_model,"we must correct for those events where the muon is absorbed by the nucleus giving off neutrons; The Huff correction factor takes care of the fact that a negative muon in the K-orbit of the muonic atom has a lower decay probability than a free muon; Eqs. (3), (5), (8); Stanislaus1987a p.7-8"
Stanislaus1987a-Table 1-17-20,Stanislaus1987a,e3ae6124dfccc1b41c20844b3861b0398eae8f6db2f8e96e4ec5f6ed0e1fca9d,Stanislaus1987a p.17 Table 1 row 20: NiO,NiO,solid,,,,,atomic_capture_ratio,ratio of atomic capture probabilities per atom; Stanislaus1987a p.7-8,2.35,0.19,,E1 counter efficiency and E2(Z) lost low-energy decay electrons; Stanislaus1987a p.7-8,E2(Z) energy losses in target and counters; Stanislaus1987a p.8,,,,Stanislaus1987a:Table 1,true,A(Ni/O),stage=terminal@Stanislaus1987a p.7;population=all_stops@Stanislaus1987a p.7;method=lifetime@Stanislaus1987a p.2;lineage=own@Stanislaus1987a p.2;inputs=unstated@Stanislaus1987a p.8,isotope_composition;temperature_K;density_g_cm3;beam_conditions;units;cascade_correction;transfer_assumption;stopping_model,"we must correct for those events where the muon is absorbed by the nucleus giving off neutrons; The Huff correction factor takes care of the fact that a negative muon in the K-orbit of the muonic atom has a lower decay probability than a free muon; Eqs. (3), (5), (8); Stanislaus1987a p.7-8"
Stanislaus1987a-Table 1-17-21,Stanislaus1987a,e3ae6124dfccc1b41c20844b3861b0398eae8f6db2f8e96e4ec5f6ed0e1fca9d,Stanislaus1987a p.17 Table 1 row 21: Cu2O,Cu2O,solid,,,,,atomic_capture_ratio,ratio of atomic capture probabilities per atom; Stanislaus1987a p.7-8,2.20,0.25,,E1 counter efficiency and E2(Z) lost low-energy decay electrons; Stanislaus1987a p.7-8,E2(Z) energy losses in target and counters; Stanislaus1987a p.8,,,,Stanislaus1987a:Table 1,true,A(Cu/O),stage=terminal@Stanislaus1987a p.7;population=all_stops@Stanislaus1987a p.7;method=lifetime@Stanislaus1987a p.2;lineage=own@Stanislaus1987a p.2;inputs=unstated@Stanislaus1987a p.8,isotope_composition;temperature_K;density_g_cm3;beam_conditions;units;cascade_correction;transfer_assumption;stopping_model,"we must correct for those events where the muon is absorbed by the nucleus giving off neutrons; The Huff correction factor takes care of the fact that a negative muon in the K-orbit of the muonic atom has a lower decay probability than a free muon; Eqs. (3), (5), (8); Stanislaus1987a p.7-8"
Stanislaus1987a-Table 1-17-22,Stanislaus1987a,e3ae6124dfccc1b41c20844b3861b0398eae8f6db2f8e96e4ec5f6ed0e1fca9d,Stanislaus1987a p.17 Table 1 row 22: ZnO,ZnO,solid,,,,,atomic_capture_ratio,ratio of atomic capture probabilities per atom; Stanislaus1987a p.7-8,3.17,0.16,,E1 counter efficiency and E2(Z) lost low-energy decay electrons; Stanislaus1987a p.7-8,E2(Z) energy losses in target and counters; Stanislaus1987a p.8,,,,Stanislaus1987a:Table 1,true,A(Zn/O),stage=terminal@Stanislaus1987a p.7;population=all_stops@Stanislaus1987a p.7;method=lifetime@Stanislaus1987a p.2;lineage=own@Stanislaus1987a p.2;inputs=unstated@Stanislaus1987a p.8,isotope_composition;temperature_K;density_g_cm3;beam_conditions;units;cascade_correction;transfer_assumption;stopping_model,"we must correct for those events where the muon is absorbed by the nucleus giving off neutrons; The Huff correction factor takes care of the fact that a negative muon in the K-orbit of the muonic atom has a lower decay probability than a free muon; Eqs. (3), (5), (8); Stanislaus1987a p.7-8"
Stanislaus1987a-Table 1-17-23,Stanislaus1987a,e3ae6124dfccc1b41c20844b3861b0398eae8f6db2f8e96e4ec5f6ed0e1fca9d,Stanislaus1987a p.17 Table 1 row 23: Y2O3,Y2O3,solid,,,,,atomic_capture_ratio,ratio of atomic capture probabilities per atom; Stanislaus1987a p.7-8,3.17,0.42,,E1 counter efficiency and E2(Z) lost low-energy decay electrons; Stanislaus1987a p.7-8,E2(Z) energy losses in target and counters; Stanislaus1987a p.8,,,,Stanislaus1987a:Table 1,true,A(Y/O),stage=terminal@Stanislaus1987a p.7;population=all_stops@Stanislaus1987a p.7;method=lifetime@Stanislaus1987a p.2;lineage=own@Stanislaus1987a p.2;inputs=unstated@Stanislaus1987a p.8,isotope_composition;temperature_K;density_g_cm3;beam_conditions;units;cascade_correction;transfer_assumption;stopping_model,"we must correct for those events where the muon is absorbed by the nucleus giving off neutrons; The Huff correction factor takes care of the fact that a negative muon in the K-orbit of the muonic atom has a lower decay probability than a free muon; Eqs. (3), (5), (8); Stanislaus1987a p.7-8"
Stanislaus1987a-Table 1-17-24,Stanislaus1987a,e3ae6124dfccc1b41c20844b3861b0398eae8f6db2f8e96e4ec5f6ed0e1fca9d,Stanislaus1987a p.17 Table 1 row 24: ZrO2,ZrO2,solid,,,,,atomic_capture_ratio,ratio of atomic capture probabilities per atom; Stanislaus1987a p.7-8,2.89,0.13,,E1 counter efficiency and E2(Z) lost low-energy decay electrons; Stanislaus1987a p.7-8,E2(Z) energy losses in target and counters; Stanislaus1987a p.8,,,,Stanislaus1987a:Table 1,true,A(Zr/O),stage=terminal@Stanislaus1987a p.7;population=all_stops@Stanislaus1987a p.7;method=lifetime@Stanislaus1987a p.2;lineage=own@Stanislaus1987a p.2;inputs=unstated@Stanislaus1987a p.8,isotope_composition;temperature_K;density_g_cm3;beam_conditions;units;cascade_correction;transfer_assumption;stopping_model,"we must correct for those events where the muon is absorbed by the nucleus giving off neutrons; The Huff correction factor takes care of the fact that a negative muon in the K-orbit of the muonic atom has a lower decay probability than a free muon; Eqs. (3), (5), (8); Stanislaus1987a p.7-8"
Stanislaus1987a-Table 1-18-3,Stanislaus1987a,e3ae6124dfccc1b41c20844b3861b0398eae8f6db2f8e96e4ec5f6ed0e1fca9d,Stanislaus1987a p.18 Table 1 row 3: NbO,NbO,solid,,,,,atomic_capture_ratio,ratio of atomic capture probabilities per atom; Stanislaus1987a p.7-8,3.44,0.20,,E1 counter efficiency and E2(Z) lost low-energy decay electrons; Stanislaus1987a p.7-8,E2(Z) energy losses in target and counters; Stanislaus1987a p.8,,,,Stanislaus1987a:Table 1,true,A(Nb/O),stage=terminal@Stanislaus1987a p.7;population=all_stops@Stanislaus1987a p.7;method=lifetime@Stanislaus1987a p.2;lineage=own@Stanislaus1987a p.2;inputs=unstated@Stanislaus1987a p.8,isotope_composition;temperature_K;density_g_cm3;beam_conditions;units;cascade_correction;transfer_assumption;stopping_model,"we must correct for those events where the muon is absorbed by the nucleus giving off neutrons; The Huff correction factor takes care of the fact that a negative muon in the K-orbit of the muonic atom has a lower decay probability than a free muon; Eqs. (3), (5), (8); Stanislaus1987a p.7-8"
Stanislaus1987a-Table 1-18-4,Stanislaus1987a,e3ae6124dfccc1b41c20844b3861b0398eae8f6db2f8e96e4ec5f6ed0e1fca9d,Stanislaus1987a p.18 Table 1 row 4: Nb2O5,Nb2O5,solid,,,,,atomic_capture_ratio,ratio of atomic capture probabilities per atom; Stanislaus1987a p.7-8,3.57,0.19,,E1 counter efficiency and E2(Z) lost low-energy decay electrons; Stanislaus1987a p.7-8,E2(Z) energy losses in target and counters; Stanislaus1987a p.8,,,,Stanislaus1987a:Table 1,true,A(Nb/O),stage=terminal@Stanislaus1987a p.7;population=all_stops@Stanislaus1987a p.7;method=lifetime@Stanislaus1987a p.2;lineage=own@Stanislaus1987a p.2;inputs=unstated@Stanislaus1987a p.8,isotope_composition;temperature_K;density_g_cm3;beam_conditions;units;cascade_correction;transfer_assumption;stopping_model,"we must correct for those events where the muon is absorbed by the nucleus giving off neutrons; The Huff correction factor takes care of the fact that a negative muon in the K-orbit of the muonic atom has a lower decay probability than a free muon; Eqs. (3), (5), (8); Stanislaus1987a p.7-8"
Stanislaus1987a-Table 1-18-5,Stanislaus1987a,e3ae6124dfccc1b41c20844b3861b0398eae8f6db2f8e96e4ec5f6ed0e1fca9d,Stanislaus1987a p.18 Table 1 row 5: MoO2,MoO2,solid,,,,,atomic_capture_ratio,ratio of atomic capture probabilities per atom; Stanislaus1987a p.7-8,3.08,0.14,,E1 counter efficiency and E2(Z) lost low-energy decay electrons; Stanislaus1987a p.7-8,E2(Z) energy losses in target and counters; Stanislaus1987a p.8,,,,Stanislaus1987a:Table 1,true,A(Mo/O),stage=terminal@Stanislaus1987a p.7;population=all_stops@Stanislaus1987a p.7;method=lifetime@Stanislaus1987a p.2;lineage=own@Stanislaus1987a p.2;inputs=unstated@Stanislaus1987a p.8,isotope_composition;temperature_K;density_g_cm3;beam_conditions;units;cascade_correction;transfer_assumption;stopping_model,"we must correct for those events where the muon is absorbed by the nucleus giving off neutrons; The Huff correction factor takes care of the fact that a negative muon in the K-orbit of the muonic atom has a lower decay probability than a free muon; Eqs. (3), (5), (8); Stanislaus1987a p.7-8"
